EPNUM,RTYPE,GQTYPE,RELSHIP,QSEX,QAGE,CENHISP,CENRACE,LIVE_ALONE,NUMRACE,PGQSHRT,GQTYPE_PL,VOTING_AGE,TABBLKST,TABBLKCOU,TABTRACTCE,TABBLK,TABBLKGRPCE,AIANNHCE,AIANNHFP,AIANNHNS,AIHHTLI,ANRCFP,ANRCNS,AREALAND,AREAWATER,AREAWATERCSTL,AREAWATERGRLK,AREAWATERINLD,AREAWATERTSEA,CBSAFP,CD116FP,CNECTAFP,CONCITFP,CONCITNS,COUNTYFS,COUNTYNS,COUSUBFP,COUSUBFS,COUSUBNS,CSAFP,DIVISIONCE,ESTATEFP,ESTATENS,INTPTLAT,INTPTLON,LWBLKTYP,MEMI,METDIVFP,NECTADIVFP,NECTAFP,NMEMI,PCICBSA,PCINECTA,PLACEFP,PLACEFS,PLACENS,PUMA,REGIONCE,SDELMLEA,SDSECLEA,SDUNILEA,SLDLST,SLDUST,STATENS,SUBMCDFP,SUBMCDNS,TBLKGRPCE,TRIBALSUBCE,TRIBALSUBFP,TRIBALSUBNS,TTRACTCE,UACE,UATYP,UGACE,UR,VTDST,ZCTA5CE
10,3,000,20,2,37,1,01,2,1,0,0,2,34,039,035800,3013,3,9999,99999,99999999,9,99999,99999999,11167,0,0,0,0,0,35620,10,999,99999,99999999,A,00882235,61530,F,00885363,408,2,99999,99999999,+40.6007539,-074.2893227,L,1,35084,99999,99999,9,N,N,61530,A,00885363,01904,1,99999,99999,13530,022,022,01779795,99999,99999999,9,999,99999,99999999,999999,63217,U,99999,U,065301,07065
11,3,000,20,2,37,1,01,2,1,0,0,2,34,039,035800,3013,3,9999,99999,99999999,9,99999,99999999,11167,0,0,0,0,0,35620,10,999,99999,99999999,A,00882235,61530,F,00885363,408,2,99999,99999999,+40.6007539,-074.2893227,L,1,35084,99999,99999,9,N,N,61530,A,00885363,01904,1,99999,99999,13530,022,022,01779795,99999,99999999,9,999,99999,99999999,999999,63217,U,99999,U,065301,07065
12,3,000,20,2,37,1,01,2,1,0,0,2,34,039,035800,3013,3,9999,99999,99999999,9,99999,99999999,11167,0,0,0,0,0,35620,10,999,99999,99999999,A,00882235,61530,F,00885363,408,2,99999,99999999,+40.6007539,-074.2893227,L,1,35084,99999,99999,9,N,N,61530,A,00885363,01904,1,99999,99999,13530,022,022,01779795,99999,99999999,9,999,99999,99999999,999999,63217,U,99999,U,065301,07065
13,3,000,21,2,51,2,11,2,2,0,0,2,34,039,035800,3013,3,9999,99999,99999999,9,99999,99999999,11167,0,0,0,0,0,35620,10,999,99999,99999999,A,00882235,61530,F,00885363,408,2,99999,99999999,+40.6007539,-074.2893227,L,1,35084,99999,99999,9,N,N,61530,A,00885363,01904,1,99999,99999,13530,022,022,01779795,99999,99999999,9,999,99999,99999999,999999,63217,U,99999,U,065301,07065
14,3,000,21,2,54,2,11,2,2,0,0,2,34,039,035800,3013,3,9999,99999,99999999,9,99999,99999999,11167,0,0,0,0,0,35620,10,999,99999,99999999,A,00882235,61530,F,00885363,408,2,99999,99999999,+40.6007539,-074.2893227,L,1,35084,99999,99999,9,N,N,61530,A,00885363,01904,1,99999,99999,13530,022,022,01779795,99999,99999999,9,999,99999,99999999,999999,63217,U,99999,U,065301,07065
15,3,000,25,1,2,2,06,2,1,0,0,1,34,039,035800,3013,3,9999,99999,99999999,9,99999,99999999,11167,0,0,0,0,0,35620,10,999,99999,99999999,A,00882235,61530,F,00885363,408,2,99999,99999999,+40.6007539,-074.2893227,L,1,35084,99999,99999,9,N,N,61530,A,00885363,01904,1,99999,99999,13530,022,022,01779795,99999,99999999,9,999,99999,99999999,999999,63217,U,99999,U,065301,07065
16,3,000,25,1,9,1,02,2,1,0,0,1,34,039,035800,3013,3,9999,99999,99999999,9,99999,99999999,11167,0,0,0,0,0,35620,10,999,99999,99999999,A,00882235,61530,F,00885363,408,2,99999,99999999,+40.6007539,-074.2893227,L,1,35084,99999,99999,9,N,N,61530,A,00885363,01904,1,99999,99999,13530,022,022,01779795,99999,99999999,9,999,99999,99999999,999999,63217,U,99999,U,065301,07065
17,3,000,25,1,9,1,02,2,1,0,0,1,34,039,035800,3013,3,9999,99999,99999999,9,99999,99999999,11167,0,0,0,0,0,35620,10,999,99999,99999999,A,00882235,61530,F,00885363,408,2,99999,99999999,+40.6007539,-074.2893227,L,1,35084,99999,99999,9,N,N,61530,A,00885363,01904,1,99999,99999,13530,022,022,01779795,99999,99999999,9,999,99999,99999999,999999,63217,U,99999,U,065301,07065
18,3,000,25,1,13,1,02,2,1,0,0,1,34,039,035800,3013,3,9999,99999,99999999,9,99999,99999999,11167,0,0,0,0,0,35620,10,999,99999,99999999,A,00882235,61530,F,00885363,408,2,99999,99999999,+40.6007539,-074.2893227,L,1,35084,99999,99999,9,N,N,61530,A,00885363,01904,1,99999,99999,13530,022,022,01779795,99999,99999999,9,999,99999,99999999,999999,63217,U,99999,U,065301,07065
19,3,000,25,1,13,1,02,2,1,0,0,1,34,039,035800,3013,3,9999,99999,99999999,9,99999,99999999,11167,0,0,0,0,0,35620,10,999,99999,99999999,A,00882235,61530,F,00885363,408,2,99999,99999999,+40.6007539,-074.2893227,L,1,35084,99999,99999,9,N,N,61530,A,00885363,01904,1,99999,99999,13530,022,022,01779795,99999,99999999,9,999,99999,99999999,999999,63217,U,99999,U,065301,07065
20,3,000,20,2,77,1,02,1,1,0,0,2,23,001,020900,2007,2,9999,99999,99999999,9,99999,99999999,12845,0,0,0,0,0,30340,02,775,99999,99999999,A,00581286,38740,F,00582554,438,1,99999,99999999,+44.1388900,-070.1947874,L,1,99999,99999,74650,1,Y,Y,38740,A,00582554,00600,1,99999,99999,07320,059,021,01779787,99999,99999999,9,999,99999,99999999,999999,49339,U,99999,U,387401,04240
21,3,000,20,1,32,1,01,2,1,0,0,2,23,001,020900,2007,2,9999,99999,99999999,9,99999,99999999,12845,0,0,0,0,0,30340,02,775,99999,99999999,A,00581286,38740,F,00582554,438,1,99999,99999999,+44.1388900,-070.1947874,L,1,99999,99999,74650,1,Y,Y,38740,A,00582554,00600,1,99999,99999,07320,059,021,01779787,99999,99999999,9,999,99999,99999999,999999,49339,U,99999,U,387401,04240
22,3,000,20,1,34,1,01,2,1,0,0,2,23,001,020900,2007,2,9999,99999,99999999,9,99999,99999999,12845,0,0,0,0,0,30340,02,775,99999,99999999,A,00581286,38740,F,00582554,438,1,99999,99999999,+44.1388900,-070.1947874,L,1,99999,99999,74650,1,Y,Y,38740,A,00582554,00600,1,99999,99999,07320,059,021,01779787,99999,99999999,9,999,99999,99999999,999999,49339,U,99999,U,387401,04240
23,3,000,20,2,25,1,08,2,2,0,0,2,23,001,020900,2007,2,9999,99999,99999999,9,99999,99999999,12845,0,0,0,0,0,30340,02,775,99999,99999999,A,00581286,38740,F,00582554,438,1,99999,99999999,+44.1388900,-070.1947874,L,1,99999,99999,74650,1,Y,Y,38740,A,00582554,00600,1,99999,99999,07320,059,021,01779787,99999,99999999,9,999,99999,99999999,999999,49339,U,99999,U,387401,04240
24,3,000,20,2,72,1,01,2,1,0,0,2,23,001,020900,2007,2,9999,99999,99999999,9,99999,99999999,12845,0,0,0,0,0,30340,02,775,99999,99999999,A,00581286,38740,F,00582554,438,1,99999,99999999,+44.1388900,-070.1947874,L,1,99999,99999,74650,1,Y,Y,38740,A,00582554,00600,1,99999,99999,07320,059,021,01779787,99999,99999999,9,999,99999,99999999,999999,49339,U,99999,U,387401,04240
25,3,000,20,2,72,1,01,2,1,0,0,2,23,001,020900,2007,2,9999,99999,99999999,9,99999,99999999,12845,0,0,0,0,0,30340,02,775,99999,99999999,A,00581286,38740,F,00582554,438,1,99999,99999999,+44.1388900,-070.1947874,L,1,99999,99999,74650,1,Y,Y,38740,A,00582554,00600,1,99999,99999,07320,059,021,01779787,99999,99999999,9,999,99999,99999999,999999,49339,U,99999,U,387401,04240
26,3,000,20,2,72,1,01,2,1,0,0,2,23,001,020900,2007,2,9999,99999,99999999,9,99999,99999999,12845,0,0,0,0,0,30340,02,775,99999,99999999,A,00581286,38740,F,00582554,438,1,99999,99999999,+44.1388900,-070.1947874,L,1,99999,99999,74650,1,Y,Y,38740,A,00582554,00600,1,99999,99999,07320,059,021,01779787,99999,99999999,9,999,99999,99999999,999999,49339,U,99999,U,387401,04240
27,3,000,20,2,72,1,01,2,1,0,0,2,23,001,020900,2007,2,9999,99999,99999999,9,99999,99999999,12845,0,0,0,0,0,30340,02,775,99999,99999999,A,00581286,38740,F,00582554,438,1,99999,99999999,+44.1388900,-070.1947874,L,1,99999,99999,74650,1,Y,Y,38740,A,00582554,00600,1,99999,99999,07320,059,021,01779787,99999,99999999,9,999,99999,99999999,999999,49339,U,99999,U,387401,04240
28,3,000,20,2,72,1,01,2,1,0,0,2,23,001,020900,2007,2,9999,99999,99999999,9,99999,99999999,12845,0,0,0,0,0,30340,02,775,99999,99999999,A,00581286,38740,F,00582554,438,1,99999,99999999,+44.1388900,-070.1947874,L,1,99999,99999,74650,1,Y,Y,38740,A,00582554,00600,1,99999,99999,07320,059,021,01779787,99999,99999999,9,999,99999,99999999,999999,49339,U,99999,U,387401,04240
29,3,000,20,2,72,1,01,2,1,0,0,2,23,001,020900,2007,2,9999,99999,99999999,9,99999,99999999,12845,0,0,0,0,0,30340,02,775,99999,99999999,A,00581286,38740,F,00582554,438,1,99999,99999999,+44.1388900,-070.1947874,L,1,99999,99999,74650,1,Y,Y,38740,A,00582554,00600,1,99999,99999,07320,059,021,01779787,99999,99999999,9,999,99999,99999999,999999,49339,U,99999,U,387401,04240
30,3,000,21,2,32,1,02,2,1,0,0,2,32,003,001610,2030,2,9999,99999,99999999,9,99999,99999999,15632,0,0,0,0,0,29820,01,999,99999,99999999,A,00863600,94504,S,01937450,332,8,99999,99999999,+36.1460428,-115.0775905,L,1,99999,99999,99999,9,N,N,71400,S,02410035,00408,4,99999,99999,00060,014,021,01779793,99999,99999999,9,999,99999,99999999,999999,47995,U,99999,U,005576,89104
31,3,000,22,2,24,2,06,2,1,0,0,2,32,003,001610,2030,2,9999,99999,99999999,9,99999,99999999,15632,0,0,0,0,0,29820,01,999,99999,99999999,A,00863600,94504,S,01937450,332,8,99999,99999999,+36.1460428,-115.0775905,L,1,99999,99999,99999,9,N,N,71400,S,02410035,00408,4,99999,99999,00060,014,021,01779793,99999,99999999,9,999,99999,99999999,999999,47995,U,99999,U,005576,89104
32,3,000,22,2,24,2,06,2,1,0,0,2,32,003,001610,2030,2,9999,99999,99999999,9,99999,99999999,15632,0,0,0,0,0,29820,01,999,99999,99999999,A,00863600,94504,S,01937450,332,8,99999,99999999,+36.1460428,-115.0775905,L,1,99999,99999,99999,9,N,N,71400,S,02410035,00408,4,99999,99999,00060,014,021,01779793,99999,99999999,9,999,99999,99999999,999999,47995,U,99999,U,005576,89104
33,3,000,22,2,26,2,01,2,1,0,0,2,32,003,001610,2030,2,9999,99999,99999999,9,99999,99999999,15632,0,0,0,0,0,29820,01,999,99999,99999999,A,00863600,94504,S,01937450,332,8,99999,99999999,+36.1460428,-115.0775905,L,1,99999,99999,99999,9,N,N,71400,S,02410035,00408,4,99999,99999,00060,014,021,01779793,99999,99999999,9,999,99999,99999999,999999,47995,U,99999,U,005576,89104
34,3,000,22,2,27,2,11,2,2,0,0,2,32,003,001610,2030,2,9999,99999,99999999,9,99999,99999999,15632,0,0,0,0,0,29820,01,999,99999,99999999,A,00863600,94504,S,01937450,332,8,99999,99999999,+36.1460428,-115.0775905,L,1,99999,99999,99999,9,N,N,71400,S,02410035,00408,4,99999,99999,00060,014,021,01779793,99999,99999999,9,999,99999,99999999,999999,47995,U,99999,U,005576,89104
35,3,000,22,2,29,2,01,2,1,0,0,2,32,003,001610,2030,2,9999,99999,99999999,9,99999,99999999,15632,0,0,0,0,0,29820,01,999,99999,99999999,A,00863600,94504,S,01937450,332,8,99999,99999999,+36.1460428,-115.0775905,L,1,99999,99999,99999,9,N,N,71400,S,02410035,00408,4,99999,99999,00060,014,021,01779793,99999,99999999,9,999,99999,99999999,999999,47995,U,99999,U,005576,89104
36,3,000,25,1,3,1,02,2,1,0,0,1,32,003,001610,2030,2,9999,99999,99999999,9,99999,99999999,15632,0,0,0,0,0,29820,01,999,99999,99999999,A,00863600,94504,S,01937450,332,8,99999,99999999,+36.1460428,-115.0775905,L,1,99999,99999,99999,9,N,N,71400,S,02410035,00408,4,99999,99999,00060,014,021,01779793,99999,99999999,9,999,99999,99999999,999999,47995,U,99999,U,005576,89104
37,3,000,25,2,6,1,02,2,1,0,0,1,32,003,001610,2030,2,9999,99999,99999999,9,99999,99999999,15632,0,0,0,0,0,29820,01,999,99999,99999999,A,00863600,94504,S,01937450,332,8,99999,99999999,+36.1460428,-115.0775905,L,1,99999,99999,99999,9,N,N,71400,S,02410035,00408,4,99999,99999,00060,014,021,01779793,99999,99999999,9,999,99999,99999999,999999,47995,U,99999,U,005576,89104
38,3,000,25,2,18,2,11,2,2,0,0,2,32,003,001610,2030,2,9999,99999,99999999,9,99999,99999999,15632,0,0,0,0,0,29820,01,999,99999,99999999,A,00863600,94504,S,01937450,332,8,99999,99999999,+36.1460428,-115.0775905,L,1,99999,99999,99999,9,N,N,71400,S,02410035,00408,4,99999,99999,00060,014,021,01779793,99999,99999999,9,999,99999,99999999,999999,47995,U,99999,U,005576,89104
39,3,000,25,2,18,2,11,2,2,0,0,2,32,003,001610,2030,2,9999,99999,99999999,9,99999,99999999,15632,0,0,0,0,0,29820,01,999,99999,99999999,A,00863600,94504,S,01937450,332,8,99999,99999999,+36.1460428,-115.0775905,L,1,99999,99999,99999,9,N,N,71400,S,02410035,00408,4,99999,99999,00060,014,021,01779793,99999,99999999,9,999,99999,99999999,999999,47995,U,99999,U,005576,89104
40,3,000,21,1,65,2,06,2,1,0,0,2,06,107,004402,3011,3,9999,99999,99999999,9,99999,99999999,20308,0,0,0,0,0,47300,21,999,99999,99999999,A,00277318,90760,S,01935080,999,9,99999,99999999,+35.8765272,-119.2653690,L,1,99999,99999,99999,9,N,N,20438,S,02408701,10703,4,11760,10860,99999,026,014,01779778,99999,99999999,9,999,99999,99999999,999999,25579,U,99999,U,,93219
41,3,000,21,1,65,2,11,2,2,0,0,2,06,107,004402,3011,3,9999,99999,99999999,9,99999,99999999,20308,0,0,0,0,0,47300,21,999,99999,99999999,A,00277318,90760,S,01935080,999,9,99999,99999999,+35.8765272,-119.2653690,L,1,99999,99999,99999,9,N,N,20438,S,02408701,10703,4,11760,10860,99999,026,014,01779778,99999,99999999,9,999,99999,99999999,999999,25579,U,99999,U,,93219
42,3,000,21,1,67,2,11,2,2,0,0,2,06,107,004402,3011,3,9999,99999,99999999,9,99999,99999999,20308,0,0,0,0,0,47300,21,999,99999,99999999,A,00277318,90760,S,01935080,999,9,99999,99999999,+35.8765272,-119.2653690,L,1,99999,99999,99999,9,N,N,20438,S,02408701,10703,4,11760,10860,99999,026,014,01779778,99999,99999999,9,999,99999,99999999,999999,25579,U,99999,U,,93219
43,3,000,21,2,51,1,04,2,1,0,0,2,06,107,004402,3011,3,9999,99999,99999999,9,99999,99999999,20308,0,0,0,0,0,47300,21,999,99999,99999999,A,00277318,90760,S,01935080,999,9,99999,99999999,+35.8765272,-119.2653690,L,1,99999,99999,99999,9,N,N,20438,S,02408701,10703,4,11760,10860,99999,026,014,01779778,99999,99999999,9,999,99999,99999999,999999,25579,U,99999,U,,93219
44,3,000,21,2,75,1,04,2,1,0,0,2,06,107,004402,3011,3,9999,99999,99999999,9,99999,99999999,20308,0,0,0,0,0,47300,21,999,99999,99999999,A,00277318,90760,S,01935080,999,9,99999,99999999,+35.8765272,-119.2653690,L,1,99999,99999,99999,9,N,N,20438,S,02408701,10703,4,11760,10860,99999,026,014,01779778,99999,99999999,9,999,99999,99999999,999999,25579,U,99999,U,,93219
45,3,000,21,2,78,1,04,2,1,0,0,2,06,107,004402,3011,3,9999,99999,99999999,9,99999,99999999,20308,0,0,0,0,0,47300,21,999,99999,99999999,A,00277318,90760,S,01935080,999,9,99999,99999999,+35.8765272,-119.2653690,L,1,99999,99999,99999,9,N,N,20438,S,02408701,10703,4,11760,10860,99999,026,014,01779778,99999,99999999,9,999,99999,99999999,999999,25579,U,99999,U,,93219
46,3,000,25,1,0,2,15,2,2,0,0,1,06,107,004402,3011,3,9999,99999,99999999,9,99999,99999999,20308,0,0,0,0,0,47300,21,999,99999,99999999,A,00277318,90760,S,01935080,999,9,99999,99999999,+35.8765272,-119.2653690,L,1,99999,99999,99999,9,N,N,20438,S,02408701,10703,4,11760,10860,99999,026,014,01779778,99999,99999999,9,999,99999,99999999,999999,25579,U,99999,U,,93219
47,3,000,25,1,6,2,06,2,1,0,0,1,06,107,004402,3011,3,9999,99999,99999999,9,99999,99999999,20308,0,0,0,0,0,47300,21,999,99999,99999999,A,00277318,90760,S,01935080,999,9,99999,99999999,+35.8765272,-119.2653690,L,1,99999,99999,99999,9,N,N,20438,S,02408701,10703,4,11760,10860,99999,026,014,01779778,99999,99999999,9,999,99999,99999999,999999,25579,U,99999,U,,93219
48,3,000,25,1,6,2,06,2,1,0,0,1,06,107,004402,3011,3,9999,99999,99999999,9,99999,99999999,20308,0,0,0,0,0,47300,21,999,99999,99999999,A,00277318,90760,S,01935080,999,9,99999,99999999,+35.8765272,-119.2653690,L,1,99999,99999,99999,9,N,N,20438,S,02408701,10703,4,11760,10860,99999,026,014,01779778,99999,99999999,9,999,99999,99999999,999999,25579,U,99999,U,,93219
49,3,000,25,1,6,2,06,2,1,0,0,1,06,107,004402,3011,3,9999,99999,99999999,9,99999,99999999,20308,0,0,0,0,0,47300,21,999,99999,99999999,A,00277318,90760,S,01935080,999,9,99999,99999999,+35.8765272,-119.2653690,L,1,99999,99999,99999,9,N,N,20438,S,02408701,10703,4,11760,10860,99999,026,014,01779778,99999,99999999,9,999,99999,99999999,999999,25579,U,99999,U,,93219
50,3,000,20,1,70,1,01,2,1,0,0,2,01,003,011000,2074,2,9999,99999,99999999,9,99999,99999999,705931,0,0,0,0,0,19300,01,999,99999,99999999,A,00161527,93042,S,00165653,380,6,99999,99999999,+30.4896994,-087.6767299,L,1,99999,99999,99999,9,9,9,99999,9,99999999,02702,3,99999,99999,00270,066,032,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000031,36580
51,3,000,20,1,71,1,01,2,1,0,0,2,01,003,011000,2074,2,9999,99999,99999999,9,99999,99999999,705931,0,0,0,0,0,19300,01,999,99999,99999999,A,00161527,93042,S,00165653,380,6,99999,99999999,+30.4896994,-087.6767299,L,1,99999,99999,99999,9,9,9,99999,9,99999999,02702,3,99999,99999,00270,066,032,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000031,36580
52,3,000,20,1,74,1,01,2,1,0,0,2,01,003,011000,2074,2,9999,99999,99999999,9,99999,99999999,705931,0,0,0,0,0,19300,01,999,99999,99999999,A,00161527,93042,S,00165653,380,6,99999,99999999,+30.4896994,-087.6767299,L,1,99999,99999,99999,9,9,9,99999,9,99999999,02702,3,99999,99999,00270,066,032,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000031,36580
53,3,000,20,2,51,1,01,2,1,0,0,2,01,003,011000,2074,2,9999,99999,99999999,9,99999,99999999,705931,0,0,0,0,0,19300,01,999,99999,99999999,A,00161527,93042,S,00165653,380,6,99999,99999999,+30.4896994,-087.6767299,L,1,99999,99999,99999,9,9,9,99999,9,99999999,02702,3,99999,99999,00270,066,032,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000031,36580
54,3,000,21,2,29,1,01,2,1,0,0,2,01,003,011000,2074,2,9999,99999,99999999,9,99999,99999999,705931,0,0,0,0,0,19300,01,999,99999,99999999,A,00161527,93042,S,00165653,380,6,99999,99999999,+30.4896994,-087.6767299,L,1,99999,99999,99999,9,9,9,99999,9,99999999,02702,3,99999,99999,00270,066,032,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000031,36580
55,3,000,25,2,9,2,01,2,1,0,0,1,01,003,011000,2074,2,9999,99999,99999999,9,99999,99999999,705931,0,0,0,0,0,19300,01,999,99999,99999999,A,00161527,93042,S,00165653,380,6,99999,99999999,+30.4896994,-087.6767299,L,1,99999,99999,99999,9,9,9,99999,9,99999999,02702,3,99999,99999,00270,066,032,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000031,36580
56,3,000,25,2,9,2,01,2,1,0,0,1,01,003,011000,2074,2,9999,99999,99999999,9,99999,99999999,705931,0,0,0,0,0,19300,01,999,99999,99999999,A,00161527,93042,S,00165653,380,6,99999,99999999,+30.4896994,-087.6767299,L,1,99999,99999,99999,9,9,9,99999,9,99999999,02702,3,99999,99999,00270,066,032,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000031,36580
57,3,000,20,1,41,2,06,2,1,0,0,2,01,003,011000,2075,2,9999,99999,99999999,9,99999,99999999,595564,0,0,0,0,0,19300,01,999,99999,99999999,A,00161527,93042,S,00165653,380,6,99999,99999999,+30.4835990,-087.6784844,L,1,99999,99999,99999,9,9,9,99999,9,99999999,02702,3,99999,99999,00270,094,032,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000031,36580
58,3,000,20,1,41,2,06,2,1,0,0,2,01,003,011000,2075,2,9999,99999,99999999,9,99999,99999999,595564,0,0,0,0,0,19300,01,999,99999,99999999,A,00161527,93042,S,00165653,380,6,99999,99999999,+30.4835990,-087.6784844,L,1,99999,99999,99999,9,9,9,99999,9,99999999,02702,3,99999,99999,00270,094,032,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000031,36580
59,3,000,20,2,30,1,01,2,1,0,0,2,01,003,011000,2075,2,9999,99999,99999999,9,99999,99999999,595564,0,0,0,0,0,19300,01,999,99999,99999999,A,00161527,93042,S,00165653,380,6,99999,99999999,+30.4835990,-087.6784844,L,1,99999,99999,99999,9,9,9,99999,9,99999999,02702,3,99999,99999,00270,094,032,01779775,99999,99999999,9,999,99999,99999999,999999,99999,9,99999,R,000031,36580
